ExperimentName,Subject,Session,DataFile.Basename,DebugSession,Display.RefreshRate,ExternalStimulus,Group,RandomSeed,SessionDate,SessionStartDateTimeUtc,SessionTime,TrainingSession,UsingfMRI,Run,AvgRunACC,AvgRunReturnACC,AvgRunRT,AvgTotalACC,AvgTotalRT,Intensity,Painful,PainfulRating.DEVICE,Procedure[Run],Rest.DEVICE,RunBonus,RunList,RunList.Cycle,RunList.Sample,Running[Run],Salience,TotalBonus,Unpleasantness,Block,AvgBlockACC,AvgBlockRT,BlockACC,BlockBonus,BlockList,BlockList.Cycle,BlockList.Sample,BlockTrials,NumCorrect,NumTrials,Procedure[Block],Running[Block],Task,Trials1,Trials2,Trials3,Trial,CorrectResponse,DisplayStim.ACC,DisplayStim.CRESP,DisplayStim.DEVICE,DisplayStim.DurationError,DisplayStim.OnsetDelay,DisplayStim.OnsetTime,DisplayStim.OnsetToOnsetTime,DisplayStim.RESP,DisplayStim.RT,DisplayStim.RTTime,ITIDur,Match,Phase,PhaseSwitch,Procedure[Trial],Running[Trial],StimPath,Stimulus,TrialList1,TrialList1.Cycle,TrialList1.Sample,TrialList2,TrialList2.Cycle,TrialList2.Sample,TrialList3,TrialList3.Cycle,TrialList3.Sample
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,1,90.9091,601.545,10,$6.15 ,52,2,1,11,,,BlockProc,BlockList,branch,3,5,3,11,f,1,f,Keyboard,0,34,136541,516,f,443,136984,3000,match,3,,TrialProc,TrialList3,Stimulus\SQUAREA.png,1,,,,,,,1,1,3
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,1,f,1,f,Keyboard,0,34,143075,517,f,605,143680,3400,match,1,1,TrialProc,TrialList1,Stimulus\SQUARET.png,0,1,1,4,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,2,f,1,f,Keyboard,0,34,147009,517,f,479,147488,2600,match,1,,TrialProc,TrialList1,Stimulus\SQUAREA.png,1,1,1,5,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,3,f,1,f,Keyboard,0,34,150143,517,f,633,150776,3000,match,1,,TrialProc,TrialList1,Stimulus\SQUAREB.png,2,1,1,6,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,4,f,1,f,Keyboard,0,34,153677,517,f,427,154104,3200,match,1,,TrialProc,TrialList1,Stimulus\SQUAREL.png,3,1,1,7,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,5,f,1,f,Keyboard,0,34,157411,516,f,797,158208,3200,match,2,2,TrialProc,TrialList2,Stimulus\CIRCLET.png,0,,,,1,1,6,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,6,j,1,j,Keyboard,0,34,161145,516,j,631,161776,3400,random,2,,TrialProc,TrialList2,Stimulus\CIRCLEB.png,2,,,,2,1,7,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,7,j,1,j,Keyboard,0,34,165079,516,j,545,165624,2800,random,2,,TrialProc,TrialList2,Stimulus\CIRCLEE.png,4,,,,2,1,8,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,8,f,1,f,Keyboard,0,33,168412,517,f,716,169128,3400,match,2,,TrialProc,TrialList2,Stimulus\CIRCLET.png,0,,,,1,1,9,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,9,j,1,j,Keyboard,0,18,172330,517,j,566,172896,2800,random,3,3,TrialProc,TrialList3,Stimulus\SQUARET.png,0,,,,,,,2,1,4
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,2,100,594.3,10,$6.20 ,11,2,2,10,,,BlockProc,BlockList,branch,4,4,2,10,j,1,j,Keyboard,0,34,175664,516,j,544,176208,3200,random,3,,TrialProc,TrialList3,Stimulus\SQUAREB.png,2,,,,,,,2,1,5
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,1,j,1,j,Keyboard,0,34,182398,517,j,786,183184,3000,random,1,1,TrialProc,TrialList1,Stimulus\SQUAREL.png,3,2,1,8,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,2,j,1,j,Keyboard,0,34,185932,517,j,548,186480,2800,random,1,,TrialProc,TrialList1,Stimulus\SQUAREA.png,1,2,1,9,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,3,j,1,j,Keyboard,0,34,189266,517,j,638,189904,3000,random,1,,TrialProc,TrialList1,Stimulus\SQUARET.png,0,2,1,10,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,4,f,1,f,Keyboard,0,34,192800,516,f,680,193480,3200,match,2,2,TrialProc,TrialList2,Stimulus\CIRCLET.png,0,,,,1,1,10,,,
